"assignment","code","state","description","observations","unit","equipmentType","equipmentBrand"
"46794","U141911132087","BUENO","ESCRITORIO ESCRITORIO DE MADERA, CON PORTA TECLADO Y DOS CAJONES, MEDIDAS: 1.20X0.60X0.76 MTS.","","UND","TECLADO",
"46800","U070312462202","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462203","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462204","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462206","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462207","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","","UND","SILLA","GEMPLAST"
"46800","U070312462208","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462209","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462210","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462211","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462212","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","","UND","SILLA","GEMPLAST"
"46800","U070312462214","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462215","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","","UND","SILLA","GEMPLAST"
"46800","U070312462216","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462217","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462218","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","","UND","SILLA","GEMPLAST"
"46800","U070312462219","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462220","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","","UND","SILLA","GEMPLAST"
"46800","U070312462221","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","","UND","SILLA","GEMPLAST"
"46800","U070312462222","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462223","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
"46800","U070312462224","BUENO","SILLA SILLA PLASTICA SIN BRAZOS COLOR BEIGE MARCA GEMPLAST","Movido al 232-10","UND","SILLA","GEMPLAST"
